organismo,area,nombre
INSTITUTO ANDALUZ DE INVESTIG. Y FORMACION AGRARIA PESQUERA ALIMENTARIA Y DE LA PRODUCCION ECOLOGICA,Ciencias agrarias y agroalimentarias,MARIA DEL CARMEN MONTERO CALASANZ
INSTITUTO DE CIENCIAS FOTONICAS,Tecnologías de la información y de las comunicaciones,CHAITANYA KUMAR SUDDAPALLI
INSTITUTO DE INVESTIGACION SANITARIA FUNDACION JIMENEZ DIAZ,Biomedicina,ANA BELEN SANZ BARTOLOME
INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA Y ALIMENTARIA (INIA),Ciencias agrarias y agroalimentarias,JOSE ANTONIO CURIEL GAMIZ
INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA Y ALIMENTARIA (INIA),Ciencias agrarias y agroalimentarias,JOSE ANTONIO NAVARRO CANO
SERVICIO DE SALUD DE CASTILLA‐LA MANCHA‐SESCAM,Biomedicina,JULIANA MARTINS DA ROSA
UNIVERSIDAD AUTONOMA DE BARCELONA,Ciencias agrarias y agroalimentarias,MARIANA TELES PEREIRA
UNIVERSIDAD AUTONOMA DE BARCELONA,Ciencias sociales,JORDI CHRISTOPHER HONEY ROSES
UNIVERSIDAD AUTONOMA DE BARCELONA,Ciencias y tecnologías químicas,CAROLINA GIMBERT SURIÑACH
UNIVERSIDAD AUTONOMA DE BARCELONA,Estudios del pasado: historia y arqueología,AGNES GARCIA VENTURA
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias agrarias y agroalimentarias,MARIA REGUERA BLAZQUEZ
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias físicas,JUAN LUIS ARAGONES GOMEZ
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias físicas,CARLOS SABIN LESTAYO
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias físicas,IRENE VALENZUELA AGUI
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias matemáticas,JOSE MANUEL CONDE ALONSO
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias matemáticas,DANIEL MACIAS CASTILLO
UNIVERSIDAD AUTONOMA DE MADRID,Ciencias y tecnologías de materiales,ENRIQUE BURZURI LINARES
UNIVERSIDAD AUTONOMA DE MADRID,Derecho,LUIS MANUEL LLOREDO ALIX
UNIVERSIDAD CARLOS III DE MADRID,Ciencias sociales,JUAN ANTONIO MAYORAL DIAZ‐ASENSIO
UNIVERSIDAD CARLOS III DE MADRID,Economía,JAN STUHLER
UNIVERSIDAD COMPLUTENSE DE MADRID,Ciencias físicas,JACOBO RUIZ DE ELVIRA CARRASCAL
UNIVERSIDAD COMPLUTENSE DE MADRID,Ciencias matemáticas,ANGELO LUCIA
UNIVERSIDAD COMPLUTENSE DE MADRID,Ciencias y tecnologías químicas,AGUSTIN MOLINA ONTORIA
UNIVERSIDAD COMPLUTENSE DE MADRID,Estudios del pasado: historia y arqueología,MARIA ANGELES MARTIN ROMERA
UNIVERSIDAD COMPLUTENSE DE MADRID,"Mente, lenguaje y pensamiento",ROBERTO LOSS
UNIVERSIDAD DE ALCALA,Ciencias y tecnologías medioambientales,IGNACIO MORALES CASTILLA
UNIVERSIDAD DE ALCALA,Estudios del pasado: historia y arqueología,MIRIAM CUBAS MORERA
UNIVERSIDAD DE ALICANTE,Ciencias y tecnologías medioambientales,ESTHER SEBASTIAN GONZALEZ
UNIVERSIDAD DE BARCELONA,Biociencias y biotecnología,MARCO MARIOTTI
UNIVERSIDAD DE BARCELONA,Biociencias y biotecnología,JUAN ALBERTO ORTEGA CANO
UNIVERSIDAD DE BARCELONA,Biociencias y biotecnología,RAIMON SUNYER BORRELL
UNIVERSIDAD DE BARCELONA,Biomedicina,JORDI BONAVENTURA MORERA
UNIVERSIDAD DE BARCELONA,Biomedicina,MAR COLL LOPERENA
UNIVERSIDAD DE BARCELONA,Ciencias agrarias y agroalimentarias,MARTA GUASCH FERRE
UNIVERSIDAD DE BARCELONA,Ciencias agrarias y agroalimentarias,SHAWN CARLISLE KEFAUVER
UNIVERSIDAD DE BARCELONA,Ciencias matemáticas,FRANCESC FITE NAYA
UNIVERSIDAD DE BARCELONA,Ciencias y tecnologías medioambientales,ANTIGONI KALIONTZOPOULOU KALIONTZOPOULOU
UNIVERSIDAD DE BARCELONA,"Cultura: filología, literatura y arte",DIANA BERRUEZO SANCHEZ
UNIVERSIDAD DE BARCELONA,"Mente, lenguaje y pensamiento",FERNANDO BRONCANO BERROCAL
UNIVERSIDAD DE BARCELONA,Psicología,BORIS ALEXANDER KLEBER
UNIVERSIDAD DE CADIZ,Ciencias y tecnologías medioambientales,IVAN FRANCO RODIL
UNIVERSIDAD DE CADIZ,Ciencias y tecnologías medioambientales,EMILIO GUILLERMO GARCIA ROBLEDO
UNIVERSIDAD DE CANTABRIA,Ciencias y tecnologías de materiales,CESAR MORENO SIERRA
UNIVERSIDAD DE CORDOBA,Biomedicina,JUAN MANUEL CASTELLANO RODRIGUEZ
UNIVERSIDAD DE CORDOBA,Ciencias agrarias y agroalimentarias,JOSE VICENTE DIE RAMON
UNIVERSIDAD DE CORDOBA,Ciencias agrarias y agroalimentarias,JUAN MORAL MORAL
UNIVERSIDAD DE GRANADA,Biomedicina,MATTIA BRAMINI
UNIVERSIDAD DE GRANADA,Ciencias agrarias y agroalimentarias,AMALIA DE LA ARRIXACA ROCA HERNANDEZ
UNIVERSIDAD DE GRANADA,Ciencias físicas,MIKAEL RODRIGUEZ CHALA
UNIVERSIDAD DE GRANADA,Ciencias sociales,NICOLAS ROBINSON GARCIA
UNIVERSIDAD DE GRANADA,Ciencias y tecnologías de materiales,SERGIO MORALES TORRES
UNIVERSIDAD DE GRANADA,Ciencias y tecnologías medioambientales,DANIEL PASTOR GALAN
UNIVERSIDAD DE GRANADA,Psicología,IRENE ESTEBAN CORNEJO
UNIVERSIDAD DE GRANADA,Tecnologías de la información y de las comunicaciones,ALMUDENA RIVADENEYRA TORRES
UNIVERSIDAD DE HUELVA,Ciencias y tecnologías medioambientales,MANUEL CARABALLO MONGE
UNIVERSIDAD DE HUELVA,Ciencias y tecnologías medioambientales,CARLOS RUIZ CANOVAS
UNIVERSIDAD DE JAEN,Ciencias agrarias y agroalimentarias,BIENVENIDA GILBERT LOPEZ
UNIVERSIDAD DE JAEN,Ciencias matemáticas,JOSE MIGUEL MANZANO PREGO
UNIVERSIDAD DE LA LAGUNA,Ciencias físicas,JOSEFA BECERRA GONZALEZ
UNIVERSIDAD DE LA LAGUNA,Ciencias físicas,ARIANNA DI CINTIO
UNIVERSIDAD DE LAS ISLAS BALEARES,"Cultura: filología, literatura y arte",MARTA PUXAN OLIVA
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,Ciencias agrarias y agroalimentarias,LORENZO ENRIQUE HERNANDEZ CASTELLANO
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,Estudios del pasado: historia y arqueología,JONATHAN SANTANA CABRERA
UNIVERSIDAD DE LLEIDA,Biomedicina,MANUEL SANCHEZ DE LA TORRE
UNIVERSIDAD DE LLEIDA,Ciencias de la educación,VICTORIA IRENE MARIN JUARROS
UNIVERSIDAD DE MALAGA,Biomedicina,ELISA MATAS RICO
UNIVERSIDAD DE MURCIA,Biomedicina,ANTONIO MANUEL LAX PEREZ
UNIVERSIDAD DE MURCIA,Biomedicina,FRANCISCO JOSE ROCA SOLER
UNIVERSIDAD DE MURCIA,Biomedicina,RUT VALDOR ALONSO
"","",Nombre Apellido 2
UNIVERSIDAD DE MURCIA,Ciencias de la educación,FRANCISCO AYALA RODRIGUEZ
UNIVERSIDAD DE MURCIA,Ciencias y tecnologías medioambientales,DAVID SANCHEZ FERNANDEZ
UNIVERSIDAD DE MURCIA,Ciencias y tecnologías medioambientales,MARCO TURCO
UNIVERSIDAD DE MURCIA,Estudios del pasado: historia y arqueología,ANA DIAZ SERRANO
UNIVERSIDAD DE NAVARRA,Tecnologías de la información y de las comunicaciones,IDOIA OCHOA ALVAREZ
UNIVERSIDAD DE SALAMANCA,Ciencias físicas,ALVARO DE LA CRUZ DOMBRIZ
UNIVERSIDAD DE SALAMANCA,Ciencias y tecnologías de materiales,JOSE MANUEL CARIDAD HERNANDEZ
UNIVERSIDAD DE SALAMANCA,Ciencias y tecnologías medioambientales,LORENA CARRO GARCIA
UNIVERSIDAD DE SEVILLA,Ciencias agrarias y agroalimentarias,PATRICIA BERNAL GUZMAN
UNIVERSIDAD DE SEVILLA,Ciencias y tecnologías de materiales,CAROLINA CARRILLO CARRION
UNIVERSIDAD DE VALENCIA,Biomedicina,PILAR DOMINGO CALAP
UNIVERSIDAD DE VALENCIA,Ciencias físicas,MARIA MORENO LLACER
UNIVERSIDAD DE VALENCIA,Ciencias y tecnologías de materiales,CRISTINA ROLDAN CARMONA
UNIVERSIDAD DE VALENCIA,Ciencias y tecnologías medioambientales,ANDREU RICO ARTERO
UNIVERSIDAD DE VALENCIA,Ciencias y tecnologías químicas,JESUS FERRANDO SORIA
UNIVERSIDAD DE VALENCIA,Ciencias y tecnologías químicas,MONICA GIMENEZ MARQUES
UNIVERSIDAD DE VALENCIA,Ciencias y tecnologías químicas,DAVID PEREZ GUAITA
UNIVERSIDAD DE VALLADOLID,"Producción industrial, ingeniería civil e ingenierías para la sociedad",DANIEL ALVAREZ GONZALEZ
UNIVERSIDAD DE VIGO,Ciencias matemáticas,MARIA JOSE RODRIGUEZ ALVAREZ
UNIVERSIDAD DE VIGO,Ciencias y tecnologías medioambientales,GUILLERMO VELO ANTON
UNIVERSIDAD DE VIGO,"Producción industrial, ingeniería civil e ingenierías para la sociedad",ALEJANDRO FERNANDEZ VILLAVERDE
UNIVERSIDAD DE VIGO,"Producción industrial, ingeniería civil e ingenierías para la sociedad",Ma MERCEDES SOLLA CARRACELAS
UNIVERSIDAD DE ZARAGOZA,Ciencias agrarias y agroalimentarias,ALEJANDRO BELANCHE GRACIA
UNIVERSIDAD DE ZARAGOZA,Ciencias sociales,IRENE PEREZ IBARRA
UNIVERSIDAD DE ZARAGOZA,Ciencias y tecnologías químicas,PATRICIA GORGOJO ALONSO
UNIVERSIDAD DE ZARAGOZA,Ciencias y tecnologías químicas,GREGORIO GUISADO BARRIOS
UNIVERSIDAD DE ZARAGOZA,Energía y transporte,MARIA PILAR LISBONA MARTIN
UNIVERSIDAD DE ZARAGOZA,Estudios del pasado: historia y arqueología,FRANCISCO JAVIER RAMON SOLANS
UNIVERSIDAD DE ZARAGOZA,"Producción industrial, ingeniería civil e ingenierías para la sociedad",ANA MINCHOLE LAPUENTE
UNIVERSIDAD DE ZARAGOZA,Tecnologías de la información y de las comunicaciones,JORGE GRACIA DEL RIO
UNIVERSIDAD DEL PAIS VASCO EUSKAL HERRIKO UNIBERTSITATEA,Biociencias y biotecnología,IÑIGO OLALDE MARQUINEZ
UNIVERSIDADE DA CORUÑA,Biociencias y biotecnología,JOSE LUIS PARDO VAZQUEZ
UNIVERSIDADE DA CORUÑA,Ciencias y tecnologías medioambientales,MICHAEL CARBAJALES‐DALE
UNIVERSIDADE DA CORUÑA,Ciencias y tecnologías químicas,JESUS MOSQUERA MOSQUERA
UNIVERSIDADE DA CORUÑA,Ciencias y tecnologías químicas,ELENA PAZOS CHANTRERO
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Biociencias y biotecnología,BEATRIZ OROSA PUENTE
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Biomedicina,DIANA GUALLAR ARTAL
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Biomedicina,RICARDO VILLA BELLOSTA
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Ciencias físicas,FRANCESC YASSID AYYAD LIMONGE
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Ciencias físicas,LORENZO CAZON BOADO
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Ciencias y tecnologías químicas,ESTER POLO
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,"Cultura: filología, literatura y arte",ROSA MARIA RODRIGUEZ PORTO
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,"Mente, lenguaje y pensamiento",MARCOS GARCIA GONZALEZ
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,Tecnologías de la información y de las comunicaciones,RAFAEL ENRIQUE RAMOS AMIGO
UNIVERSITAT DE GIRONA,Ciencias y tecnologías medioambientales,HECTOR MONCLUS SALES
"",Area Temática,Apellido 1 Apellido 2
UNIVERSITAT DE GIRONA,"Cultura: filología, literatura y arte",SONIA BOADAS
UNIVERSITAT JAUME I DE CASTELLO,"Mente, lenguaje y pensamiento",MAYA VISSER
UNIVERSITAT JAUME I DE CASTELLO,Tecnologías de la información y de las comunicaciones,ZOE FALOMIR LLANSOLA
UNIVERSITAT POLITECNICA DE CATALUNYA,Ciencias matemáticas,VICTOR GONZALEZ ALONSO
UNIVERSITAT POLITECNICA DE CATALUNYA,Energía y transporte,LLUIS SOLER TURU
UNIVERSITAT POLITECNICA DE CATALUNYA,"Producción industrial, ingeniería civil e ingenierías para la sociedad",PEDRO JOSE MARTINEZ FERRER
UNIVERSITAT POLITÈCNICA DE VALÈNCIA,Ciencias agrarias y agroalimentarias,SERGIO TORRES GINER
UNIVERSITAT POMPEU FABRA CCT,Ciencias sociales,ARIADNA RIPOLL SERVENT
UNIVERSITAT POMPEU FABRA CCT,Derecho,ROSA MILA RAFEL
UNIVERSITAT POMPEU FABRA CCT,Economía,MANUEL JOSE GARCIA SANTANA
UNIVERSITAT POMPEU FABRA CCT,Economía,GEERT MESTERS MESTERS
UNIVERSITAT POMPEU FABRA CCT,Tecnologías de la información y de las comunicaciones,GIOVANNI GERACI
UNIVERSITAT POMPEU FABRA CCT,Tecnologías de la información y de las comunicaciones,PATRICIA SANTOS RODRIGUEZ
UNIVERSITAT ROVIRA I VIRGILI,Biomedicina,VICTORIA CEPERUELO MALLAFRE
